playername,playername_original,league,_source_year,split,position,teamname,talent_score,score_percentile,promoted_to_lec,win_rate,games_played,champion_pool_size,dpm_zscore,cspm_zscore,golddiffat15_zscore
mauki,Mauki,LVP SL,2025,Spring,bot,ZETA,0.6603328326374454,14.692982456140353,False,0.3333333333333333,9,7,-1.35002613884946,-0.99937455611924,-1.700214907010327
innaxe,Innaxe,PRM,2025,unknown,bot,Eintracht Spandau,0.6581413755834873,14.473684210526317,False,0.6,5,5,-0.7071067811865479,-0.7071067811865421,0.7071067811865475
djoko,Djoko,LFL2,2024,Spring,jng,MHSC Esport,0.6573174405292861,14.660831509846828,False,0.6666666666666666,6,5,-0.4222036489015502,-0.2688780314057222,0.8131577076543951
lucker,Lucker,LFL2,2025,Summer,sup,Zerance,0.6567747808061429,16.666666666666664,False,0.3571428571428571,14,7,-0.062536662762095,0.6877774625616128,-0.1881181353846142
rin,Rin,LVP SL,2025,Final Four,bot,Team Heretics Academy,0.6546149075298454,14.25438596491228,False,0.5,8,7,-0.7071067811865483,0.7071067811865485,0.7071067811865476
illlima,IlllIma,TCL,2025,Winter,top,ULF Esports,0.6539983434439759,12.694877505567929,False,0.1428571428571428,14,6,0.0234921358175962,-0.6348069716410133,-1.4076859766789394
banderas,Banderas,NLC,2025,unknown,top,Bitfix Gaming,0.6539528534536723,12.47216035634744,False,0.3333333333333333,6,3,1.960683244853604,0.558140075399813,1.1910252834992998
artoria,Artoria,PRM,2025,unknown,mid,A One Man Army Prime,0.6531295690078912,12.527964205816556,False,0.5714285714285714,7,6,-0.5919618883541561,-0.7370549892070443,0.2135651949927373
bitse,Bitse,NLC,2025,Winter,jng,DMG Esports,0.651943125916194,14.442013129102845,False,0.2,10,7,-1.1742500431275729,-0.4095091967394048,-1.3224933033596256
nsurr,Nsurr,LFL2,2025,Summer,sup,Karmine Corp Blue Stars,0.6516064260901175,16.444444444444446,False,0.3636363636363636,11,5,0.0541225529830165,1.6350356353719129,-1.707898884270887
escik,ESCIK,PRM,2024,unknown,mid,Austrian Force willhaben,0.6490027932792378,12.304250559284116,False,0.3636363636363636,11,8,-0.2637114610033855,-0.1226928264308102,-0.4321975612894047
seaz,seaz,PRM,2025,Summer,sup,Unicorns of Love Sexy Edition,0.6449677868759446,16.22222222222222,False,0.5555555555555556,9,5,-0.1554893945649804,1.045511743293854,-1.3053653101960694
bust,Bust,NLC,2026,Spring,top,DMG Esports,0.6415614695914775,12.24944320712695,False,0.375,8,6,-1.243672054174756,-0.8607035836443199,-0.2671223910860548
dovendyr,Dovendyr,NLC,2025,unknown,sup,Fortress Esports,0.6411509311983594,16.0,False,0.5,12,6,-1.458494216615862,0.8393955833174052,-0.6683241993497246
menninkäinen,Menninkäinen,NLC,2025,unknown,top,Epic Avalanche,0.6401817828426829,12.026726057906458,False,0.5555555555555556,9,8,-0.0347979959002486,0.3241750076326622,1.096186641474896
kakan,Kakan,NLC,2024,unknown,top,Ruzeh Esports,0.6332346387963097,11.804008908685969,False,0.4,10,6,-0.2654271948981473,-0.2987905730619893,0.3234936958934508
xico,Xico,LVP SL,2025,Summer,mid,ZETA,0.6287606238410692,12.080536912751679,False,0.2222222222222222,9,5,-0.499909122427259,1.716244106474596,-0.6180679426946905
hydra,Hydra,LFL2,2024,Spring,mid,MHSC Esport,0.6275974515478457,11.856823266219239,False,0.6666666666666666,6,5,-1.2136869720685304,-0.0395122346743874,-1.1414345370231336
highway,Highway,LFL2,2024,unknown,sup,IziDream,0.6255177787105003,15.777777777777777,False,0.5555555555555556,9,6,0.508991118254845,0.7969622400452397,-0.6065626825452675
mxe,Mxe,TCL,2025,Winter,sup,BBL Dark Passage,0.6158004004191621,15.555555555555555,False,0.2727272727272727,11,6,-0.9089193215265964,0.5690108417628889,-0.222853469454296
cerecof,Cerecof,LFL2,2024,Spring,sup,Lille Esport,0.612971482712815,15.333333333333332,False,0.6666666666666666,6,5,0.2040771073088914,-1.1513390059833082,-0.686929393667162
ersin,Ersin,TCL,2025,Summer,top,BBL Dark Passage,0.6123630652803735,11.58129175946548,False,0.5,8,4,-1.3942467369957394,-1.8614842096129245,-1.6438637495306128
booshi,Booshi,LFL,2026,unknown,bot,Esprit Shōnen,0.6117865412060014,14.035087719298245,False,0.375,8,5,-0.3013780291429851,-1.819375582987741,-0.390588780428389
forzent,Forzent,TCL,2026,Summer,jng,Team Phoenix,0.6106561212592951,14.22319474835886,False,0.2727272727272727,11,9,-1.585124413758255,-1.3855192226510702,-0.8614700553104612
shikari,Shikari,PRM,2024,unknown,top,Spinebusters E-Sport,0.6086881031557739,11.358574610244988,False,0.5714285714285714,7,5,-0.9496607358360228,-1.741571487538866,-0.2980306226752112
ozgur,Ozgur,TCL,2024,Summer,bot,Galakticos,0.6060359968168627,13.815789473684212,False,0.0,14,8,-0.952750697383308,0.056921485830889,-0.634019694184162
camana,Camana,TCL,2024,Winter,mid,Galakticos,0.605502592480833,11.6331096196868,False,0.0,14,10,-1.3612006048648504,-2.05159023232934,-2.012471357954614
wildenbruch,Wildenbruch,PRM,2026,Winter,sup,E WIE EINFACH E-SPORTS,0.6052567138505659,15.11111111111111,False,0.3333333333333333,9,7,0.8212540522340868,0.0265918730451203,0.0831298450042015
